case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
906,CO,Yes (All),1953,Somewhat approve,Disapprove,Very,Very,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,(Dont know),Too little,A great deal,No difference,Other,Yes,Very,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Urban,"$50,000 to under $75,000",CO,Female,65+,67,"Republican,",CONSRV (very + somewhat conservative),yes,West,Close,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.730388228,Cell
907,IA,Yes (All),1954,Strongly approve,Disapprove,Somewhat,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,(Dont know),Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",(Dont know),Not very,Not very,Not at all,(Dont know),Favor,Favor,(Dont know),Somewhat,No difference,Bringing people together / Sense of community,No,Not very,Yes,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Very conservative, ,Neither, , ,Lean Republican,"No, no home telephone", , ,No,White,Yes,Suburban,"$50,000 to under $75,000",IA,Female,65+,66,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Close,Very Conservative,Very Conservative,Lean Republican,Lean Republican,.819811431,Cell
908,WI,Yes (All),1953,Strongly disapprove,Disapprove,Very,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Somewhat,Not very,Not very,Favor,Favor,Too much,Not much,No difference,Economic opportunities / Still have a job / Saving money,(Dont know),Somewhat,No,(Someone else),(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Small town,"Under $30,000",WI,Female,65+,67,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.819811431,Cell
909,OH,Yes (All),1950,Strongly disapprove,Approve,Very,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,More,Bringing people together / Sense of community,No,Somewhat,No,Democrat Hillary Clinton,"(Some college, no degree)",Liberal,Very liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",OH,Female,65+,70,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Trump 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,.819811431,Cell
911,MN,Yes (All),1944,Somewhat disapprove,(Dont know),Very,Somewhat,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve,Somewhat approve,Strongly approve,(Dont know),Worst is yet to come,Not taking the pandemic seriously enough,(Mixed),"No, does not describe","Yes, describes",(Dont know),"No, does not describe",Somewhat,Somewhat,Somewhat,Not very,Somewhat,Favor,Favor,Too little,A great deal,More,Bringing people together / Sense of community,No,Very,No,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Rural,DO NOT READ -- (Refused_Dont know),MN,Female,65+,76,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.811019218,Cell
912,SC,Yes (All),1973,Strongly approve,Disapprove,Very,Somewhat,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Wrong direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,More,No silver lining,Yes,Very,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Small town,"Under $30,000",SC,Female,46-54,47,"Republican,","MODERATE,",yes,South,Trump 10%+,Moderate,Moderate,Strong Republican,Strong Republican,1.338724094,Cell
913,OH,Yes (All),1990,Somewhat approve,Disapprove,Very,Somewhat,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Somewhat approve,(Dont know),Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes",(Dont know),"No, does not describe",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,(Dont know),Too much,A great deal,No difference,Spending more time with family,No,Somewhat,Yes,Or did things come up to keep you from voting?,(4-year degree_traditional college degree),Moderate, , ,Lean liberal,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,White,No,Small town,"$50,000 to under $75,000",OH,Female,30-45,30,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Trump 10%+,Lean Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,.967172071,Cell
914,CO,Yes (All),1948,Strongly approve,Disapprove,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat disapprove,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Not very,Very,Somewhat,Favor,Favor,Too little,A great deal,No difference,No silver lining,No,Very,Yes,Republican Donald Trump,"(Vocational, technical school)",Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Rural,"$30,000 to under $50,000",CO,Female,65+,72,"Republican,",CONSRV (very + somewhat conservative),no,West,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.811019218,Cell
916,CA,Yes (All),1962,Somewhat approve,Disapprove,Very,Very,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Strongly disapprove,(Neither),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,(Dont know),"No, does not describe","Yes, describes","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,(Mixed),No silver lining,No,Very,Yes,Republican Donald Trump,(Graduate degree),Conservative, ,Very conservative, ,Democrat,Strong, , ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,"African-American, black",Yes,Urban,"$30,000 to under $50,000",CA,Female,55-64,58,Democrat,CONSRV (very + somewhat conservative),no,West,Clinton 10%+,Very Conservative,Very Conservative,Strong Democrat,Strong Democarat,1.192527907,Cell
917,MO,Yes (All),1959,Strongly disapprove,Approve,Very,Very,Strongly approve,(Dont know),Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,(Dont know),A great deal,Less,Preparation for the future / Better prepared for future outbreaks,No,Very,No,Democrat Hillary Clinton,"(Some college, no degree)",Moderate, , ,Dont lean either way,Democrat,Strong, , ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,"African-American, black",Yes,Suburban,"Under $30,000",MO,Female,55-64,61,Democrat,"MODERATE,",no,Midwest,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,1.309746357,Cell
919,MO,Yes (All),1960,Strongly approve,Approve,Very,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Not very,Somewhat,Favor,Favor,Just about right,Not much,More,Bringing people together / Sense of community,No,Very,Yes,(Someone else),"(Some college, no degree)",Moderate, , ,Lean conservative,Neither, , ,Lean Republican,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Rural,"Under $30,000",MO,Female,55-64,60,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Trump 10%+,Lean Conservative,Somewhat Conservative,Lean Republican,Lean Republican,.900801237,Cell
921,NE,Yes (All),1950,Somewhat disapprove,(Dont know),Very,Somewhat,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,(Neither),Worst is over,Overreacting,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","Yes, describes",Very,Not very,Not very,Somewhat,Very,Favor,Favor,Just about right,Somewhat,More,Economic opportunities / Still have a job / Saving money,Yes,Not very,Yes,Democrat Hillary Clinton,(2-year degree_community college degree),Moderate, , ,Lean liberal,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,White,No,Suburban,"Under $30,000",NE,Female,65+,70,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Close,Lean Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,.819811431,Cell
923,IN,Yes (All),1948,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe",(Dont know),"No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,No difference,Bringing people together / Sense of community,No,Very,Yes,Democrat Hillary Clinton,(Graduate degree),Moderate, , ,Lean liberal,Democrat,Strong, , ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,"$30,000 to under $50,000",IN,Female,65+,72,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Trump 10%+,Lean Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.736575474,Cell
924,MO,Yes (All),1950,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,(Dont know),A great deal,(Dont know),No silver lining,No,Very,No,Democrat Hillary Clinton,"(Some college, no degree)",Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,No,Suburban,"$75,000 to under $100,000",MO,Female,65+,70,Independent + other,"MODERATE,",no,Midwest,Clinton 10%+,Moderate,Moderate,Independent,Independent,.819811431,Cell
925,NC,Yes (All),1961,Somewhat approve,Approve,Very,Somewhat,Somewhat approve,Somewhat approve,(Dont know),(Dont know),Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),(Dont know),(Dont know),(Dont know),"Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,No difference,Learn valuable lessons / Chance for reflection,No,Somewhat,Yes,Republican Donald Trump,"(Some college, no degree)",Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,Yes,Small town,"$30,000 to under $50,000",NC,Female,55-64,59,Independent + other,"MODERATE,",yes,South,Trump 10%+,Moderate,Moderate,Independent,Independent,.910566772,Cell
926,LA,Yes (All),1964,Strongly approve,Disapprove,Not very,Not at all,Somewhat disapprove,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat disapprove,Right direction,Worst is over,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Not very,Not very,Not very,Oppose,Favor,Just about right,Not much,No difference,Home improvements / Hobbies,No,Not very,No,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Somewhat conservative, ,Neither, , ,Lean Republican,"No, no home telephone", , ,No,White,No,Suburban,"Under $30,000",LA,Female,55-64,56,"Republican,",CONSRV (very + somewhat conservative),no,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Lean Republican,Lean Republican,.910566772,Cell
927,CA,Yes (All),1997,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,Less,No silver lining,No,Somewhat,Yes,Democrat Hillary Clinton,"(Some college, no degree)",Liberal,Very liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Urban,"Under $30,000",CA,Female,18-29,23,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,1.738583156,Cell
930,LA,Yes (All),1951,Strongly approve,(Dont know),Very,Somewhat,(Dont know),Strongly approve,(Dont know),(Dont know),(Dont know),Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Very,Favor,Favor,Just about right,Somewhat,No difference,Religious value / Increase in faith,Yes,Very,No,Republican Donald Trump,(2-year degree_community college degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Rural,"$50,000 to under $75,000",LA,Female,65+,69,Independent + other,"MODERATE,",no,South,Close,Moderate,Moderate,Independent,Independent,.811019218,Cell
